x,y,s,v
0.102041,0.204082,-0.00136772,0.262263
0.102041,0.22449,-0.00167888,0.289345
0.102041,0.244898,-0.00201768,0.31777
0.102041,0.265306,-0.00238219,0.347457
0.102041,0.285714,-0.00277029,0.378307
0.102041,0.306122,-0.00317965,0.410213
0.102041,0.326531,-0.00360774,0.443061
0.102041,0.346939,-0.00405184,0.47674
0.102041,0.367347,-0.00450904,0.511145
0.102041,0.387755,-0.00497628,0.546177
0.102041,0.408163,-0.00545035,0.581747
0.102041,0.428571,-0.00592801,0.617773
0.102041,0.44898,-0.006406,0.65418
0.102041,0.469388,-0.00688115,0.690904
0.102041,0.489796,-0.00735048,0.727883
0.122449,0,0,0.0473822
0.122449,0.0204082,-9.86718e-06,0.0782563
0.122449,0.0408163,-5.09187e-05,0.104067
0.122449,0.0612245,-0.000130398,0.126314
0.122449,0.0816327,-0.000252533,0.146234
0.122449,0.102041,-0.000419457,0.164793
0.122449,0.122449,-0.000631873,0.182709
0.122449,0.142857,-0.000889525,0.200489
0.122449,0.163265,-0.0011915,0.21847
0.122449,0.183673,-0.00153642,0.236861
0.122449,0.204082,-0.00192257,0.255774
0.122449,0.22449,-0.00234793,0.275254
0.122449,0.244898,-0.00281024,0.2953
0.122449,0.265306,-0.00330694,0.315883
0.122449,0.285714,-0.00383526,0.33696
0.122449,0.306122,-0.00439211,0.358481
0.122449,0.326531,-0.00497415,0.380399
0.122449,0.346939,-0.00557778,0.402673
0.122449,0.367347,-0.00619913,0.425273
0.122449,0.387755,-0.00683412,0.448179
0.122449,0.408163,-0.00747849,0.471385
0.122449,0.428571,-0.00812788,0.494893
0.122449,0.44898,-0.0087779,0.518718
0.122449,0.469388,-0.00942426,0.542879
0.122449,0.489796,-0.0100629,0.567398
0.142857,0,0,0.0817448
0.142857,0.0204082,-1.70231e-05,0.109051
0.142857,0.0408163,-7.83325e-05,0.131985
0.142857,0.0612245,-0.000190587,0.151566
0.142857,0.0816327,-0.000357738,0.168686
0.142857,0.102041,-0.00058176,0.184073
0.142857,0.122449,-0.000863214,0.198293
0.142857,0.142857,-0.00120165,0.211761
0.142857,0.163265,-0.00159592,0.22477
0.142857,0.183673,-0.00204432,0.237509
0.142857,0.204082,-0.00254474,0.250096
0.142857,0.22449,-0.00309469,0.26259
0.142857,0.244898,-0.00369138,0.275019
0.142857,0.265306,-0.00433165,0.287386
0.142857,0.285714,-0.00501203,0.299688
0.142857,0.306122,-0.00572867,0.311918
0.142857,0.326531,-0.00647741,0.324078
0.142857,0.346939,-0.00725371,0.336177
0.142857,0.367347,-0.00805271,0.348243
0.142857,0.387755,-0.00886925,0.360314
0.142857,0.408163,-0.00969795,0.372449
0.142857,0.428571,-0.0105332,0.384717
0.142857,0.44898,-0.0113695,0.397202
0.142857,0.469388,-0.0122012,0.409994
0.142857,0.489796,-0.0130231,0.423184
0.163265,0,0,0.121546
0.163265,0.0204082,-2.53115e-05,0.144108
0.163265,0.0408163,-0.000109772,0.163062
0.163265,0.0612245,-0.000259005,0.179031
0.163265,0.0816327,-0.000476328,0.192599
0.163265,0.102041,-0.000763298,0.204276
0.163265,0.122449,-0.00112015,0.214473
0.163265,0.142857,-0.00154616,0.223508
0.163265,0.163265,-0.00203983,0.231609
0.163265,0.183673,-0.00259912,0.238935
0.163265,0.204082,-0.00322153,0.24559
0.163265,0.22449,-0.00390409,0.251638
0.163265,0.244898,-0.00464348,0.257115
0.163265,0.265306,-0.00543595,0.262046
0.163265,0.285714,-0.00627734,0.266448
0.163265,0.306122,-0.00716306,0.270345
0.163265,0.326531,-0.00808809,0.27377
0.163265,0.346939,-0.00904696,0.27677
0.163265,0.367347,-0.0100338,0.279411
0.163265,0.387755,-0.0110423,0.281777
0.163265,0.408163,-0.0120659,0.283974
0.163265,0.428571,-0.0130978,0.286125
0.163265,0.44898,-0.0141311,0.288368
0.163265,0.469388,-0.0151588,0.290853
0.163265,0.489796,-0.0161743,0.293732
0.183673,0,0,0.165527
0.183673,0.0204082,-3.44705e-05,0.182588
0.183673,0.0408163,-0.000144355,0.196805
0.183673,0.0612245,-0.000333897,0.208479
0.183673,0.0816327,-0.000605487,0.217939
0.183673,0.102041,-0.00096003,0.225498
0.183673,0.122449,-0.00139728,0.231426
0.183673,0.142857,-0.00191607,0.235937
0.183673,0.163265,-0.00251457,0.239196
0.183673,0.183673,-0.00319034,0.24132
0.183673,0.204082,-0.00394044,0.242388
0.183673,0.22449,-0.00476147,0.242453
0.183673,0.244898,-0.00564959,0.241551
0.183673,0.265306,-0.00660047,0.23971
0.183673,0.285714,-0.0076093,0.236961
0.183673,0.306122,-0.00867075,0.233341
0.183673,0.326531,-0.00977895,0.2289
0.183673,0.346939,-0.0109275,0.223711
0.183673,0.367347,-0.0121095,0.217865
0.183673,0.387755,-0.0133176,0.211479
0.183673,0.408163,-0.0145439,0.204693
0.183673,0.428571,-0.0157803,0.197674
0.183673,0.44898,-0.0170184,0.190605
0.183673,0.469388,-0.0182498,0.183688
0.183673,0.489796,-0.0194664,0.177129
0.204082,0,0,0.212546
0.204082,0.0204082,-4.4262e-05,0.22364
0.204082,0.0408163,-0.000181248,0.232618
0.204082,0.0612245,-0.000413573,0.239526
0.204082,0.0816327,-0.000742462,0.244482
0.204082,0.102041,-0.00116798,0.247631
0.204082,0.122449,-0.00168923,0.249114
0.204082,0.142857,-0.00230456,0.249053
0.204082,0.163265,-0.00301167,0.247543
0.204082,0.183673,-0.00380772,0.244653
0.204082,0.204082,-0.00468936,0.240432
0.204082,0.22449,-0.00565275,0.234912
0.204082,0.244898,-0.00669355,0.228117
0.204082,0.265306,-0.00780689,0.220068
0.204082,0.285714,-0.00898734,0.210794
0.204082,0.306122,-0.0102289,0.200335
0.204082,0.326531,-0.0115248,0.188749
0.204082,0.346939,-0.0128678,0.176119
0.204082,0.367347,-0.01425,0.162552
0.204082,0.387755,-0.0156627,0.148187
0.204082,0.408163,-0.017097,0.133193
