x,y,s,v
0.0583333,0.05625,-1.2308e-05,0.0103719
0.0583333,0.0625,-1.50133e-05,0.0104742
0.0583333,0.06875,-1.7901e-05,0.0105687
0.0583333,0.075,-2.09422e-05,0.0106587
0.0583333,0.08125,-2.41079e-05,0.0107453
0.0583333,0.0875,-2.7369e-05,0.0108284
0.0583333,0.09375,-3.06969e-05,0.0109063
0.0583333,0.1,-3.40631e-05,0.0109762
0.0583333,0.10625,-3.74397e-05,0.0110346
0.0583333,0.1125,-4.07997e-05,0.0110772
0.0583333,0.11875,-4.41163e-05,0.0110993
0.0583333,0.125,-4.73637e-05,0.0110958
0.0583333,0.13125,-5.05168e-05,0.0110614
0.0583333,0.1375,-5.35515e-05,0.0109906
0.0583333,0.14375,-5.64441e-05,0.010878
0.0583333,0.15,-5.91723e-05,0.0107178
0.0583333,0.15625,-6.17143e-05,0.0105048
0.0583333,0.1625,-6.40496e-05,0.0102335
0.0583333,0.16875,-6.61584e-05,0.0098989
0.0583333,0.175,-6.80224e-05,0.00949594
0.0583333,0.18125,-6.96242e-05,0.00901999
0.0583333,0.1875,-7.09477e-05,0.00846667
0.0583333,0.19375,-7.19783e-05,0.00783186
0.0583333,0.2,-7.27028e-05,0.00715352
0.0666667,0,0,0.01011
0.0666667,0.00625,-1.97462e-07,0.0105698
0.0666667,0.0125,-8.04525e-07,0.0108876
0.0666667,0.01875,-1.82462e-06,0.0110839
0.0666667,0.025,-3.25164e-06,0.0111789
0.0666667,0.03125,-5.07167e-06,0.0111915
0.0666667,0.0375,-7.26448e-06,0.0111385
0.0666667,0.04375,-9.805e-06,0.0110345
0.0666667,0.05,-1.26644e-05,0.0108919
0.0666667,0.05625,-1.58113e-05,0.0107204
0.0666667,0.0625,-1.92122e-05,0.0105276
0.0666667,0.06875,-2.28325e-05,0.010319
0.0666667,0.075,-2.6637e-05,0.0100981
0.0666667,0.08125,-3.059e-05,0.00986701
0.0666667,0.0875,-3.46559e-05,0.00962635
0.0666667,0.09375,-3.87992e-05,0.00937558
0.0666667,0.1,-4.2985e-05,0.00911321
0.0666667,0.10625,-4.71789e-05,0.00883697
0.0666667,0.1125,-5.13472e-05,0.00854397
0.0666667,0.11875,-5.54569e-05,0.00823082
0.0666667,0.125,-5.94759e-05,0.00789377
0.0666667,0.13125,-6.33728e-05,0.00752881
0.0666667,0.1375,-6.71173e-05,0.00713173
0.0666667,0.14375,-7.06801e-05,0.00669823
0.0666667,0.15,-7.4033e-05,0.00622398
0.0666667,0.15625,-7.71486e-05,0.00570468
0.0666667,0.1625,-8.00011e-05,0.0051361
0.0666667,0.16875,-8.25657e-05,0.00451414
0.0666667,0.175,-8.48189e-05,0.00383486
0.0666667,0.18125,-8.67387e-05,0.00309452
0.0666667,0.1875,-8.83049e-05,0.00228964
0.0666667,0.19375,-8.94987e-05,0.00141693
0.0666667,0.2,-9.03032e-05,0.000520894
0.075,0,0,0.0133605
0.075,0.00625,-2.60948e-07,0.0134432
0.075,0.0125,-1.04441e-06,0.0134124
0.075,0.01875,-2.34195e-06,0.0132814
0.075,0.025,-4.13724e-06,0.0130638
0.075,0.03125,-6.4073e-06,0.0127732
0.075,0.0375,-9.12371e-06,0.0124219
0.075,0.04375,-1.22537e-05,0.0120212
0.075,0.05,-1.57611e-05,0.0115806
0.075,0.05625,-1.96074e-05,0.0111083
0.075,0.0625,-2.3752e-05,0.0106106
